,MODELS,VERSION,BRANDS,Fuel,MODEL_YEAR,RTO,Transmission,OWNER,KM_DRIVEN,Location,EMI,FINAL_PRICE,ACTUAL_PRICE
0,Dzire,VXI,Maruti,Petrol,2021,TS-15,Manual,1,"17,294","Kompally, Hyderabad","₹13,470","6,89,000","6,89,000"
1,Ertiga,ZXI,Maruti,Petrol,2015,TS-08,Manual,1,"96,184","Kompally, Hyderabad","₹12,629","6,46,000","6,74,000"
2,Dzire,VXI,Maruti,Petrol,2020,TS-10,Manual,1,"88,126","Kompally, Hyderabad","₹13,138","6,72,000","7,20,000"
3,Baleno,ZETA CVT PETROL 1.2Automatic,Maruti,Petrol,2021,TS-13,Automatic,1,"45,356","Bachupally, Hyderabad","₹15,912","8,36,000","8,36,000"
4,Celerio,ZXI (O),Maruti,Petrol,2019,TS-34,Manual,2,"84,161","Attapur, Hyderabad","₹9,912","5,07,000","5,39,000"
5,Alto,LXI,Maruti,Petrol,2010,AP-09,Manual,1,"55,024","Vanasthalipuram, Hyderabad","₹3,343","1,71,000","1,83,000"
6,K10,VXI,Maruti,Petrol,2015,TS-07,Manual,1,"1,11,046","Kompally, Hyderabad","₹4,399","2,25,000","2,37,000"
7,Dzire,VDI,Maruti,Diesel,2013,AP-13,Manual,1,"99,860","Kompally, Hyderabad","₹8,328","4,26,000","4,66,000"
8,800,LXI,Maruti,Petrol,2016,TS-07,Manual,2,"60,610","Kompally, Hyderabad","₹4,653","2,38,000","2,67,000"
9,Brezza,VDI,Maruti,Diesel,2019,TS-08,Manual,1,"1,09,271","Kompally, Hyderabad","₹15,190","7,77,000","8,10,000"
10,Ritz,VXI GENUS,Maruti,Petrol,2010,AP-09,Manual,1,"63,764","Bachupally, Hyderabad","₹5,767","2,95,000","2,95,000"
11,Baleno,ZETA PETROL 1.2,Maruti,Petrol,2018,TS-08,Manual,1,"30,525","Kompally, Hyderabad","₹11,984","6,13,000","6,35,000"
12,BREZZA,ZXI SMART HYBRID ,Maruti,Petrol,2023,TS-08,Manual,1,"6,604","Kompally, Hyderabad","₹23,945","12,58,000","12,71,000"
13,1.0,VXI,Maruti,Petrol,2013,AP-28,Manual,1,"76,369","Attapur, Hyderabad","₹7,136","3,65,000","3,70,000"
14,Swift,LXI,Maruti,Petrol,2021,TS-15,Manual,1,"1,18,937","Kompally, Hyderabad","₹10,850","5,55,000","6,12,000"
15,Swift,VXI,Maruti,Petrol,2013,AP-09,Manual,2,"1,21,617","Kompally, Hyderabad","₹7,194","3,68,000","3,90,000"
16,Brezza,ZDI,Maruti,Diesel,2017,TS-08,Manual,1,"64,285","Attapur, Hyderabad","₹15,380","8,08,000","8,24,000"
17,Dzire,ZDI AMTAutomatic,Maruti,Diesel,2016,TS-08,Automatic,1,"85,948","Attapur, Hyderabad","₹12,160","6,22,000","6,69,000"
18,Brezza,VDI,Maruti,Diesel,2018,TS-07,Manual,1,"86,219","Vanasthalipuram, Hyderabad","₹13,900","7,11,000","7,24,000"
19,Dzire,VXI,Maruti,Petrol,2016,TS-08,Manual,1,"87,113","Attapur, Hyderabad","₹10,225","5,23,000","5,44,000"
20,i20,ASTA 1.2,Hyundai,Petrol,2013,AP-28,Manual,2,"74,743","Kompally, Hyderabad","₹7,527","3,85,000","4,15,000"
21,Xcent,SX 1.2 (O),Hyundai,Petrol,2014,TS-10,Manual,1,"57,782","Kompally, Hyderabad","₹8,700","4,45,000","4,66,000"
22,i20,MAGNA (O) 1.4 CRDI,Hyundai,Diesel,2011,AP-10,Manual,2,"89,927","Bachupally, Hyderabad","₹5,455","2,79,000","2,79,000"
23,i10,MAGNA 1.2,Hyundai,Petrol,2010,AP-29,Manual,1,"69,541","Bachupally, Hyderabad","₹4,477","2,29,000","2,29,000"
