,MODELS,VERSION,BRANDS,Fuel,MODEL_YEAR,RTO,Transmission,OWNER,KM_DRIVEN,Location,EMI,FINAL_PRICE,ACTUAL_PRICE,Discount_Amount,CAR_AGE
0,Dzire,VXI,Maruti,Petrol,2021,TS-15,Manual,1,17294,Hyderabad,13470,689000,689000,0,2
1,Ertiga,ZXI,Maruti,Petrol,2015,TS-08,Manual,1,96184,Hyderabad,12629,646000,674000,28000,8
2,Dzire,VXI,Maruti,Petrol,2020,TS-10,Manual,1,88126,Hyderabad,13138,672000,720000,48000,3
3,Baleno,ZETA CVT PETROL 1.2Automatic,Maruti,Petrol,2021,TS-13,Automatic,1,45356,Hyderabad,15912,836000,836000,0,2
4,Celerio,ZXI (O),Maruti,Petrol,2019,TS-34,Manual,2,84161,Hyderabad,9912,507000,539000,32000,4
5,Alto,LXI,Maruti,Petrol,2010,AP-09,Manual,1,55024,Hyderabad,3343,171000,183000,12000,13
6,K10,VXI,Maruti,Petrol,2015,TS-07,Manual,1,111046,Hyderabad,4399,225000,237000,12000,8
7,Dzire,VDI,Maruti,Diesel,2013,AP-13,Manual,1,99860,Hyderabad,8328,426000,466000,40000,10
8,800,LXI,Maruti,Petrol,2016,TS-07,Manual,2,60610,Hyderabad,4653,238000,267000,29000,7
9,Brezza,VDI,Maruti,Diesel,2019,TS-08,Manual,1,109271,Hyderabad,15190,777000,810000,33000,4
10,Ritz,VXI GENUS,Maruti,Petrol,2010,AP-09,Manual,1,63764,Hyderabad,5767,295000,295000,0,13
11,Baleno,ZETA PETROL 1.2,Maruti,Petrol,2018,TS-08,Manual,1,30525,Hyderabad,11984,613000,635000,22000,5
12,BREZZA,ZXI SMART HYBRID ,Maruti,Petrol,2023,TS-08,Manual,1,6604,Hyderabad,23945,1258000,1271000,13000,0
14,Swift,LXI,Maruti,Petrol,2021,TS-15,Manual,1,118937,Hyderabad,10850,555000,612000,57000,2
15,Swift,VXI,Maruti,Petrol,2013,AP-09,Manual,2,121617,Hyderabad,7194,368000,390000,22000,10
16,Brezza,ZDI,Maruti,Diesel,2017,TS-08,Manual,1,64285,Hyderabad,15380,808000,824000,16000,6
17,Dzire,ZDI AMTAutomatic,Maruti,Diesel,2016,TS-08,Automatic,1,85948,Hyderabad,12160,622000,669000,47000,7
18,Brezza,VDI,Maruti,Diesel,2018,TS-07,Manual,1,86219,Hyderabad,13900,711000,724000,13000,5
19,Dzire,VXI,Maruti,Petrol,2016,TS-08,Manual,1,87113,Hyderabad,10225,523000,544000,21000,7
20,i20,ASTA 1.2,Hyundai,Petrol,2013,AP-28,Manual,2,74743,Hyderabad,7527,385000,415000,30000,10
21,Xcent,SX 1.2 (O),Hyundai,Petrol,2014,TS-10,Manual,1,57782,Hyderabad,8700,445000,466000,21000,9
22,i20,MAGNA (O) 1.4 CRDI,Hyundai,Diesel,2011,AP-10,Manual,2,89927,Hyderabad,5455,279000,279000,0,12
23,i10,MAGNA 1.2,Hyundai,Petrol,2010,AP-29,Manual,1,69541,Hyderabad,4477,229000,229000,0,13
24,VENUE,SX PLUS 1.0 TURBO DCTAutomatic,Hyundai,Petrol,2019,TS-28,Automatic,1,94953,Hyderabad,18634,979000,1006000,27000,4
25,Eon,MAGNA +,Hyundai,Petrol,2017,TS-08,Manual,1,43914,Hyderabad,5357,274000,287000,13000,6
26,Eon,D-LITE+,Hyundai,Petrol,2012,AP-29,Manual,1,20073,Hyderabad,4379,224000,224000,0,11
27,i20,SPORTZ PLUS 1.2,Hyundai,Petrol,2020,TS-07,Manual,1,51216,Hyderabad,14936,764000,764000,0,3
28,Xing,GLS,Hyundai,Petrol,2010,AP-23,Manual,2,90566,Hyderabad,3812,195000,211000,16000,13
29,Eon,SPORTZ,Hyundai,Petrol,2016,TS-07,Manual,2,68336,Hyderabad,5650,289000,336000,47000,7
30,Verna,FLUIDIC 1.6 CRDI SX,Hyundai,Diesel,2014,TS-11,Manual,3,87449,Hyderabad,10968,561000,578000,17000,9
31,Elantra,1.6 SX (O) AT DIESELAutomatic,Hyundai,Diesel,2018,TS-07,Automatic,1,81405,Hyderabad,23298,1224000,1368000,144000,5
32,Eon,ERA +,Hyundai,Petrol,2013,AP-28,Manual,1,89895,Hyderabad,4379,224000,242000,18000,10
33,i10,MAGNA 1.2,Hyundai,Petrol,2013,AP-36,Manual,1,72473,Hyderabad,5846,299000,333000,34000,10
34,Verna,SX 1.5 VTVT,Hyundai,Petrol,2021,TS-15,Manual,1,19076,Hyderabad,19921,1046600,1090000,43400,2
35,Verna,1.6 CRDI SX + ATAutomatic,Hyundai,Diesel,2019,TS-13,Automatic,2,67370,Hyderabad,19472,1023000,1098000,75000,4
36,VENUE,SX 1.0 TURBO IMT,Hyundai,Petrol,2022,TS-07,Manual,1,15817,Hyderabad,19072,1002000,1030000,28000,1
37,Eon,MAGNA +,Hyundai,Petrol,2013,AP-13,Manual,1,91568,Hyderabad,4575,234000,245000,11000,10
38,Verna,1.6 VTVT SX,Hyundai,Petrol,2017,TS-09,Manual,1,30811,Hyderabad,15425,789000,883000,94000,6
39,i10,SPORTZ 1.1,Hyundai,Petrol,2014,TS-09,Manual,1,87773,Hyderabad,6393,327000,340000,13000,9
40,Amaze,1.2L I-VTEC SX,Honda,Petrol,2015,TS-07,Manual,2,80687,Hyderabad,8504,435000,435000,0,8
41,Amaze,1.2L I-VTEC VX,Honda,Petrol,2019,TS-07,Manual,1,54042,Hyderabad,13040,667000,751000,84000,4
42,City,1.5L I-DTEC S,Honda,Diesel,2015,TS-09,Manual,2,90445,Hyderabad,9169,469000,492000,23000,8
43,WR-V,1.2 i-VTEC VX MT,Honda,Petrol,2018,TS-36,Manual,2,27581,Hyderabad,12805,655000,852000,197000,5
44,Amaze,1.2L I-VTEC S,Honda,Petrol,2015,TS-16,Manual,2,76438,Hyderabad,8133,416000,463000,47000,8
45,City,1.5L I-VTEC VX CVTAutomatic,Honda,Petrol,2017,TS-09,Automatic,1,59261,Hyderabad,19129,1005000,1026000,21000,6
46,City,1.5L I-VTEC V MT,Honda,Petrol,2014,TS-07,Manual,2,109832,Hyderabad,9071,464000,525000,61000,9
47,Amaze,1.2L I-VTEC S,Honda,Petrol,2019,TS-13,Manual,2,37566,Hyderabad,12160,622000,647000,25000,4
48,Amaze,1.2L I-VTEC S,Honda,Petrol,2021,TS-07,Manual,1,16925,Hyderabad,13802,706000,750000,44000,2
49,Civic,1.6L I-DTEC VX MT,Honda,Diesel,2019,TS-10,Manual,1,48114,Hyderabad,29255,1537000,1605000,68000,4
50,Brio,VX MT,Honda,Petrol,2015,TS-15,Manual,2,82956,Hyderabad,6843,350000,367000,17000,8
51,Brio,S MT,Honda,Petrol,2012,AP-11,Manual,2,95178,Hyderabad,5220,267000,292000,25000,11
52,City,1.5L I-VTEC SV CVTAutomatic,Honda,Petrol,2014,AP-13,Automatic,2,62015,Hyderabad,10655,545000,622000,77000,9
53,Brio,S MT,Honda,Petrol,2016,TS-10,Manual,2,54515,Hyderabad,7390,378000,419000,41000,7
54,Brio,VX ATAutomatic,Honda,Petrol,2013,AP-10,Automatic,1,70687,Hyderabad,7585,388000,405000,17000,10
55,City,1.5L I-DTEC VX,Honda,Diesel,2014,TS-09,Manual,2,79189,Hyderabad,10381,531000,572000,41000,9
56,City,1.5L I-DTEC V,Honda,Diesel,2018,TS-32,Manual,1,75410,Hyderabad,15912,836000,853000,17000,5
57,City,1.5L I-VTEC E MT,Honda,Petrol,2012,AP-10,Manual,3,88471,Hyderabad,8055,412000,453000,41000,11
58,Amaze,1.2L I-VTEC VX,Honda,Petrol,2018,TS-13,Manual,1,44996,Hyderabad,12649,647000,655000,8000,5
59,Jazz,1.2L I-VTEC S ATAutomatic,Honda,Petrol,2016,TS-11,Automatic,1,40404,Hyderabad,10753,550000,598000,48000,7
60,Kwid,CLIMBER 1.0 (O),Renault,Petrol,2020,TS-28,Manual,2,49893,Hyderabad,8680,444000,470000,26000,3
61,Kwid,RXL 1.0 AMTAutomatic,Renault,Petrol,2017,TS-07,Automatic,1,24092,Hyderabad,7351,376000,388000,12000,6
62,Kwid,RXT 1.0,Renault,Petrol,2017,TS-08,Manual,1,65192,Hyderabad,5728,293000,309000,16000,6
